Distance;BBnoise;Buoy;Soundgp;DURATION;RLp;NLp;CENTRETIMEp;Q1Tp;Q3Tp;IQTp;C10Tp;C90Tp;ICTp;MAXTIMEp;MINTIMEp;CENTRETIMEs;Q1Ts;Q3Ts;IQTs;C10Ts;C90Ts;ICTs;MAXTIMEs;MINTIMEs;PEAKFREQUENCY;CENTREFREQUENCY;Q1F;Q3F;IQF;C10F;C90F;ICF;Q1TFREQ;Q3TFREQ;PEAKFREQUENCYlog;CENTREFREQUENCYlog;Q1Flog;Q3Flog;IQFlog;C10Flog;C90Flog;ICFlog;Q1TFREQlog;Q3TFREQlog;TRENDF;SLpp;SLrms;SLefd;NLrms;SNRrms;SLrmsBAND;NLrmsBAND;SNRrmsBAND;RLSNRb;Source
414;113;1;1;1.078684807;126.7314175;114.6468002;42.25352113;26.54614253;52.33130124;25.78515871;19.88648308;72.88627286;52.99978978;27.98402354;71.03636746;0.455782313;0.286349206;0.564489796;0.27814059;0.214512472;0.786213152;0.57170068;0.30185941;0.766258503;76.71203613;84.7869873;72.67456055;133.2366943;60.56213379;63.25378418;153.4240723;90.17028809;79.40368652;75.36621094;1.88486351;1.928329204;1.861382414;2.124623849;1.782201168;1.801086512;2.185893506;1.955063457;1.899840666;1.877176682;1.053571429;171.5762716;156.7839443;157.1130725;95.04662751;61.73731679;156.0824205;92.45020077;63.63221972;-1.762433631;wind
880;104;2;1;0.967573696;120.2520987;114.2415475;48.62901336;29.15865948;65.52144364;36.36278416;17.3798922;75.01757675;57.63768456;31.19756269;95.99250059;0.470521542;0.282131519;0.633968254;0.351836735;0.168163265;0.72585034;0.557687075;0.30185941;0.928798186;150.7324219;145.3491211;86.1328125;158.807373;72.67456055;71.32873535;169.5739746;98.24523926;154.7698975;75.36621094;2.178206677;2.16241241;1.935168628;2.200870662;1.861382414;1.853264524;2.2293592;1.992311515;2.189686495;1.877176682;2.053571429;170.6868128;155.2558793;155.1129233;92.23541044;63.02046881;150.5411704;85.64782676;64.89334361;-3.893543752;wind
935;108;4;1;0.945034014;126.6540113;122.2847407;22.71811114;11.04712544;32.73826663;21.69114118;6.252999328;59.64583933;53.39284;12.2852481;88.45378635;0.214693878;0.104399093;0.309387755;0.204988662;0.059092971;0.563673469;0.504580499;0.116099773;0.835918367;150.7324219;148.0407715;135.9283447;158.807373;22.87902832;79.40368652;166.8823242;87.4786377;150.7324219;148.0407715;2.178206677;2.17038134;2.133310028;2.200870662;1.359437576;1.899840666;2.22241034;1.941902011;2.178206677;2.17038134;1.018181818;173.6572848;156.8999528;156.6546357;101.7159035;55.18404932;148.560315;92.10146024;56.45885479;-6.442958409;wind
414;113;1;2;0.637777778;125.8682653;115.5051626;74.64979023;68.32112636;82.29396288;13.97283652;66.15231458;93.03846974;26.88615516;76.45594823;21.84455664;0.476099773;0.435736961;0.524852608;0.089115646;0.421904762;0.593378685;0.171473923;0.487619048;0.139319728;772.5036621;931.3110352;826.3366699;990.5273438;164.1906738;764.4287109;1072.622681;308.1939697;986.4898682;982.4523926;2.887900547;2.969094749;2.917157026;2.995866469;2.215348485;2.88333699;3.030446976;2.488824137;2.994092629;2.992311515;1.004109589;169.0448865;151.571918;149.6189207;95.7361856;55.83573245;137.6116458;88.5168246;49.09482123;-18.56497538;wind
880;104;2;2;0.710521542;117.6459518;115.7865442;69.63681624;66.42624625;77.64090126;11.21465501;40.5565839;87.31729112;46.76070722;68.62832706;19.60809344;0.49478458;0.471972789;0.551655329;0.07968254;0.288163265;0.620408163;0.332244898;0.487619048;0.139319728;890.9362793;896.3195801;763.0828857;977.0690918;213.9862061;584.0881348;1150.680542;566.5924072;994.5648193;344.53125;2.949846644;2.952462884;2.882571713;2.989925275;2.330385779;2.766478384;3.060954769;2.75327075;2.997633093;2.53722862;2.88671875;161.2623456;145.9829027;144.4989524;90.33222128;55.65068144;133.7166076;85.10288768;48.61371988;-13.89978625;wind
935;108;4;2;0.67569161;125.7891521;125.8508302;81.11282636;68.57507215;85.89838244;17.32331029;51.10410095;93.06664877;41.96254782;85.91180616;30.92825022;0.548072562;0.463356009;0.580408163;0.117052154;0.345306122;0.628843537;0.283537415;0.580498866;0.208979592;997.2564697;990.5273438;888.2446289;1002.639771;114.3951416;753.6621094;1012.060547;258.3984375;596.2005615;434.7015381;2.998806862;2.995866469;2.94853259;3.001144927;2.05840758;2.877176682;3.005206495;2.412289883;2.775392381;2.638191177;1.371517028;159.6374841;143.5537017;141.8514785;99.93831018;43.61539153;137.4627442;95.46620828;41.99653587;-4.385587793;wind
414;113;1;3;0.236099773;125.3216558;118.4235945;66.74990396;56.14675375;77.67960046;21.53284672;47.67575874;83.90318863;36.22742989;88.51325394;9.834805993;0.157596372;0.132562358;0.183401361;0.050839002;0.112562358;0.198095238;0.08553288;0.208979592;0.023219955;115.7409668;114.3951416;100.9368896;131.8908691;30.95397949;80.74951172;164.1906738;83.44116211;118.4326172;118.4326172;2.063487106;2.05840758;2.004049918;2.12021473;1.490716491;1.907139905;2.215348485;1.921380344;2.073471327;2.073471327;1;171.6888877;156.5771668;150.3089566;92.54063381;64.03653299;156.1935848;88.46855211;67.72503266;-3.173647204;wind
880;104;2;3;0.324671202;117.7677731;117.0390537;56.72579969;45.99804442;76.05810867;30.06006425;37.9242911;92.82022629;54.89593519;50.06285794;7.151836849;0.184172336;0.149342404;0.246938776;0.097596372;0.123129252;0.301360544;0.178231293;0.162539683;0.023219955;162.8448486;141.3116455;115.7409668;164.1906738;48.44970703;99.59106445;180.3405762;80.74951172;160.1531982;138.6199951;2.211774025;2.150177954;2.063487106;2.215348485;1.685291155;1.998220374;2.256093453;1.907139905;2.204535616;2.141825879;1.155339806;166.0508229;152.1428928;147.2579371;91.668991;60.47390181;150.9053841;86.09812865;64.80725543;-1.37766571;wind
935;108;4;3;0.30430839;121.9627491;121.1002042;60.92399404;42.69746647;75.36512668;32.66766021;22.23546945;92.80178838;70.56631893;68.67362146;7.630402385;0.185396825;0.129931973;0.229342404;0.099410431;0.067664399;0.282403628;0.214739229;0.208979592;0.023219955;150.7324219;153.4240723;138.6199951;164.1906738;25.57067871;107.6660156;174.9572754;67.29125977;149.3865967;107.6660156;2.178206677;2.185893506;2.141825879;2.215348485;1.407742255;2.032078642;2.242932007;1.827958659;2.174311633;2.032078642;1.3875;158.0253748;146.0444765;140.878263;94.74650689;51.29796962;142.5512714;86.10325575;56.44801564;-1.511354256;wind
414;113;1;4;0.309977324;127.4740512;115.4368225;50.54864667;41.6532553;65.22311631;23.56986101;22.07754206;80.40965618;58.33211412;52.43599122;14.98171178;0.156689342;0.129115646;0.202176871;0.073061224;0.068435374;0.249251701;0.180816327;0.162539683;0.046439909;110.357666;114.3951416;94.20776367;142.6574707;48.44970703;67.29125977;180.3405762;113.0493164;139.9658203;114.3951416;2.042802507;2.05840758;1.974086695;2.15429452;1.685291155;1.827958659;2.256093453;2.053267941;2.146021994;2.05840758;1.223529412;174.1540185;158.1211952;153.0351298;94.0893935;64.03180168;158.0401675;92.88370444;65.15646307;-1.639799718;wind
